index,original,masked,rewritten,epsilon
1,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","<mask> <mask> - <mask>, that's a bummer. <mask> shoulda got <mask> of <mask> to do it. ;D","Spoiler Alert - Aw, that's a bummer. We shoulda got some of you to do it. ;D",1.0
2,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,is upset that he can't update his <mask> by texting it... and might cry as a result <mask> today also. <mask>!,is upset that he can't update his school by texting it... and might cry as a result of today also. Sick!,1.0
3,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,<mask> I dived many times for the ball. <mask> to save 50% <mask> rest go out of bounds,So I dived many times for the ball. Now to save 50% The rest go out of bounds,1.0
4,my whole body feels itchy and like its on fire,my whole body feels itchy and like its on fire,my whole body feels itchy and like its on fire,1.0
5,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","<mask> no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","oh no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.",1.0
6,@Kwesidei not the whole crew,<mask> not the whole crew,but not the whole crew,1.0
7,Need a hug,<mask> a hug,Get a hug,1.0
8,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","<mask> hey long time no see! <mask>.. <mask> a bit ,only a bit LOL , I'm fine thanks , how's you ?","Hey hey long time no see! Sorry.. quite a bit ,only a bit LOL , I'm fine thanks , how's you ?",1.0
9,@Tatiana_K nope they didn't have it,<mask> nope they didn't have it,Oh nope they didn't have it,1.0
10,@twittera que me muera ?,<mask> que me muera ?,El que me muera ?,1.0
11,spring break in plain city... it's snowing,spring break in plain city... it's snowing,spring break in plain city... it's snowing,1.0
12,I just re-pierced my ears,I just re-pierced my ears,I just re-pierced my ears,1.0
13,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,<mask> I couldn't bear to watch it. <mask> I thought the UA loss was embarrassing . . . . .,Because I couldn't bear to watch it. Because I thought the UA loss was embarrassing . . . . .,1.0
14,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore","<mask> It it counts, idk why I did either. you never talk to me anymore","4 It it counts, idk why I did either. you never talk to me anymore",1.0
15,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","<mask> i would've been the first, but i didn't have a gun. not really though, zac snyder's just a doucheclown.","like i would've been the first, but i didn't have a gun. not really though, zac snyder's just a doucheclown.",1.0
16,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,<mask> I wish I got to watch it with you!! I miss you and <mask> how was the premiere?!,How I wish I got to watch it with you!! I miss you and Daddy how was the premiere?!,1.0
17,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,<mask>' death scene will hurt me severely to watch on film wry is directors cut not out now?,Thomas' death scene will hurt me severely to watch on film wry is directors cut not out now?,1.0
18,about to file taxes,about to file taxes,about to file taxes,1.0
19,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,<mask> ahh ive always wanted to see rent love the soundtrack!!,So ahh ive always wanted to see rent love the soundtrack!!,1.0
20,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks?,<mask> Oh dear. <mask> you drinking out of the forgotten table drinks?,- Oh dear. Are you drinking out of the forgotten table drinks?,1.0
21,@alydesigns i was out most of the day so didn't get much done,<mask> i was out most of the day so didn't get much done,Friday i was out most of the day so didn't get much done,1.0
22,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh*","one of my friend called me, and asked to meet with her at <mask> today...but i've no time *sigh*","one of my friend called me, and asked to meet with her at church today...but i've no time *sigh*",1.0
23,@angry_barista I baked you a cake but I ated it,<mask> I baked you a cake but I ated it,But I baked you a cake but I ated it,1.0
24,this week is not going as i had hoped,this week is not going as i had hoped,this week is not going as i had hoped,1.0
25,blagh class at 8 tomorrow,blagh class at 8 tomorrow,blagh class at 8 tomorrow,1.0
